pot_name,tech_name,year,included,min_levelised_cost,max_levelised_cost,strike_price,load_factor,max_deployment_cap,num_new_projects,project_gen
E,OFW,2020,True,71.3353908668731,103.034791021672,114.074615384615,0.42,1.9,,832
E,OFW,2021,True,71.1099729102167,101.917093653251,112.136153846154,0.434,1.9,,832
E,OFW,2022,True,70.8845549535604,100.79939628483,110.197692307692,0.448,1.9,,832
E,OFW,2023,True,70.659136996904,99.6816989164087,108.259230769231,0.462,1.9,,832
E,OFW,2024,True,70.4337190402477,98.5640015479876,106.320769230769,0.476,1.9,,832
E,OFW,2025,True,70.2083010835913,97.4463041795666,104.382307692308,0.49,1.9,,832
E,OFW,2026,True,69.195606832104,96.3265041921591,102.443846153846,0.49,1.9,,832
E,OFW,2027,True,68.1829125806167,95.2067042047516,100.505384615385,0.49,1.9,,832
E,OFW,2028,True,67.1702183291293,94.0869042173441,98.5669230769231,0.49,1.9,,832
E,OFW,2029,True,66.157524077642,92.9671042299366,96.6284615384615,0.49,1.9,,832
E,OFW,2030,True,65.1448298261547,91.847304242529,94.69,0.49,1.90000000000001,,832
E,TS,2020,True,151.25,225,305,0.31,0.066,,50
E,TS,2021,True,143.125,212.5,305,0.31,0.0068,,50
E,TS,2022,True,135,200,305,0.31,0.0068,,50
E,TS,2023,True,126.875,187.5,305,0.31,0.0068,,50
E,TS,2024,True,118.75,175,305,0.31,0.0068,,50
E,TS,2025,True,110.625,162.5,305,0.31,0.0068,,50
E,TS,2026,True,102.5,150,305,0.31,0.716485491235823,,50
E,TS,2027,True,94.375,137.5,305,0.31,0.716485491235822,,50
E,TS,2028,True,86.25,125,305,0.31,0.716485491235823,,50
E,TS,2029,True,78.125,112.5,305,0.31,0.716485491235823,,50
E,TS,2030,True,70,100,305,0.31,0.716485491235823,,50
E,WA,2020,True,260.75,298,305,0.31,0.034,,27
E,WA,2021,True,245.875,281,305,0.31,0.0032,,27
E,WA,2022,True,231,264,305,0.31,0.0032,,27
E,WA,2023,True,216.125,247,305,0.31,0.0032,,27
E,WA,2024,True,201.25,230,305,0.31,0.0032,,27
E,WA,2025,True,186.375,213,305,0.31,0.0032,,27
E,WA,2026,True,171.5,196,305,0.31,0.19,,27
E,WA,2027,True,156.625,179,305,0.31,0.19,,27
E,WA,2028,True,141.75,162,305,0.31,0.19,,27
E,WA,2029,True,126.875,145,305,0.31,0.19,,27
E,WA,2030,True,112,128,305,0.31,0.19,,27
FIT,NW,2020,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2021,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2022,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2023,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2024,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2025,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2026,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2027,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2028,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2029,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2030,True,32.25,32.25,32.25,1,0.32,,2760
M,ONW,2020,True,61,80,80,0.278125,0.73,,30
M,ONW,2021,True,61.4,81,80,0.2803125,0.73,,30
M,ONW,2022,True,61.8,82,80,0.2825,0.73,,30
M,ONW,2023,True,62.2,83,80,0.2846875,0.73,,30
M,ONW,2024,True,62.6,84,80,0.286875,0.73,,30
M,ONW,2025,True,63,85,80,0.2890625,0.73,,30
M,ONW,2026,True,63.4,87.6,80,0.29125,0.73,,30
M,ONW,2027,True,63.8,90.2,80,0.2934375,0.73,,30
M,ONW,2028,True,64.2,92.8,80,0.295625,0.73,,30
M,ONW,2029,True,64.6,95.4,80,0.2978125,0.73,,30
M,ONW,2030,True,65,98,80,0.3,0.73,,30
M,PVLS,2020,True,84,96,80,0.1113,0.78,,11.7
M,PVLS,2021,True,81.8,93.2,80,0.1113,1.53,,11.7
M,PVLS,2022,True,79.6,90.4,80,0.1113,1.53,,11.7
M,PVLS,2023,True,77.4,87.6,80,0.1113,1.53,,11.7
M,PVLS,2024,True,75.2,84.8,80,0.1113,1.53,,11.7
M,PVLS,2025,True,73,82,80,0.1113,1.53,,11.7
M,PVLS,2026,True,71.2,80,80,0.1113,1.53,,11.7
M,PVLS,2027,True,69.4,78,80,0.1113,1.53,,11.7
