pot_name,tech_name,year,included,min_levelised_cost,max_levelised_cost,strike_price,load_factor,max_deployment_cap,num_new_projects,project_gen
E,OFW,2020,True,71.3353908668731,103.034791021672,114.074615384615,0.42,1.9,,832
E,OFW,2025,True,70.2083010835913,97.4463041795666,104.382307692308,0.49,,,
E,OFW,2030,True,65.1448298261547,91.847304242529,94.69,0.49,1.9,,832
E,TL,2020,True,150,150,0,0.22,,0,2200
E,TL,2021,True,150,150,168,,,1,
E,TL,2022,True,150,150,168,,,0,
E,TL,2023,True,150,150,168,,,0,
E,TL,2024,True,150,150,168,,,0,
E,TL,2025,True,90,150,92,,,1,
E,TL,2026,True,120,120,129,,,1,
E,TL,2027,True,120,120,129,,,1,
E,TL,2028,True,120,120,129,,,1,
E,TL,2029,True,120,120,129,,,1,
E,TL,2030,True,120,120,129,0.22,,1,2200
E,TS,2020,True,151.25,225,305,0.31,0.066,,50
E,TS,2021,True,,,,,0.0068,,
E,TS,2025,True,110.625,162.5,305,0.31,0.0068,,
E,TS,2026,True,,,,,0.716485491235823,,
E,TS,2030,True,70,100,305,0.31,0.716485491235823,,50
E,WA,2020,True,260.75,298,305,0.31,0.034,,27
E,WA,2021,True,,,,,0.0032,,
E,WA,2022,True,,,,,0.0032,,
E,WA,2023,True,,,,,0.0032,,
E,WA,2024,True,,,,,0.0032,,
E,WA,2025,True,186.375,213,305,0.31,0.0032,,
E,WA,2026,True,,,,,0.19,,
E,WA,2027,True,,,,,0.19,,
E,WA,2028,True,,,,,0.19,,
E,WA,2029,True,,,,,0.19,,
E,WA,2030,True,112,128,305,0.31,0.19,,27
FIT,NW,2020,True,32.25,32.25,32.25,1,0.32,,2760
FIT,NW,2030,True,32.25,32.25,32.25,1,0.32,,2760
M,ONW,2020,True,61,80,80,0.278125,0.73,,30
M,ONW,2025,True,63,85,,0.2890625,,,
M,ONW,2030,True,65,98,,0.3,0.73,,30
M,PVLS,2020,True,84,96,,0.1113,0.78,,11.7
M,PVLS,2021,True,,,,,1.53,,
M,PVLS,2025,True,73,82,,,,,
M,PVLS,2030,True,64,72,80,0.1113,1.53,,11.7
SN,NU,2020,True,79,102,100.609806276033,0.8,0,,10000
SN,NU,2021,True,,,98.9878450208266,0.8,0,,
SN,NU,2022,True,,,97.3658837656199,0.8,0,,
SN,NU,2023,True,,,90,0.8,0,,
SN,NU,2024,True,,,90,0.8,2.9,,
SN,NU,2025,True,75,101,92.5,0.9,0,,
SN,NU,2026,True,,,89.8,0.9,3.2,,
SN,NU,2027,True,,,87.1,0.9,2.9,,
SN,NU,2028,True,,,84.4,0.9,1.6,,
SN,NU,2029,True,,,81.7,0.9,0,,
SN,NU,2030,True,67,89,79,0.92,0,,10000
